time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-21T16:29:52.454Z,38.6595,21.6089,10,5,mwr,"9 km ENE of Paravóla, Greece"
2024-12-21T16:16:57.436Z,-31.2967,-68.5792,108.519,4.5,mb,"16 km NNW of Albardón, Argentina"
2024-12-21T15:30:53.399Z,-17.7041,168.0033,47,6.1,mww,"33 km W of Port-Vila, Vanuatu"
2024-12-21T15:26:49.564Z,-0.1224,125.1272,54.088,4.8,mb,"99 km SE of Modisi, Indonesia"
2024-12-21T13:21:10.237Z,-3.5787,127.0338,10,4.5,mb,"128 km W of Ambon, Indonesia"
2024-12-21T12:03:38.916Z,-15.4451,-173.5715,71.087,4.8,mb,"61 km NNE of Hihifo, Tonga"
2024-12-21T09:20:49.650Z,-55.2618,-29.328,10,4.5,mb,South Sandwich Islands region
2024-12-21T09:20:30.911Z,-20.0707,-173.3758,10,5,mb,"105 km ESE of Fangale’ounga, Tonga"
2024-12-21T09:13:06.391Z,-40.4607,-75.061,10,4.8,mb,"152 km WSW of Corral, Chile"
2024-12-21T08:20:39.429Z,8.9536,39.9227,10,4.5,mb,"5 km N of Metahāra, Ethiopia"
2024-12-21T07:10:15.578Z,26.8599,55.1583,10,4.8,mb,"43 km NE of Bandar-e Lengeh, Iran"
2024-12-21T01:17:05.969Z,-17.9707,-178.1419,607.996,4.8,mb,"269 km E of Levuka, Fiji"
2024-12-20T23:53:40.516Z,17.5942,119.6826,10,4.9,mb,"71 km W of Cabittaogan, Philippines"
2024-12-20T23:23:20.579Z,8.0868,-38.104,10,4.8,mb,central Mid-Atlantic Ridge
2024-12-20T22:56:19.281Z,-7.0873,131.8732,10,4.5,mb,"188 km SSW of Tual, Indonesia"
2024-12-20T22:29:02.221Z,29.4923,81.6099,10,5,mb,"60 km WNW of Jumla, Nepal"
2024-12-20T21:51:27.385Z,3.9895,125.8551,159.186,4.9,mb,"162 km SSE of Sarangani, Philippines"
2024-12-20T21:09:32.525Z,5.7996,127.2143,66.393,4.9,mb,"130 km ESE of Pondaguitan, Philippines"
2024-12-20T19:57:37.188Z,50.5596,90.3478,10,4.5,mb,"20 km NNW of Mugur-Aksy, Russia"
2024-12-20T19:26:14.415Z,-6.9992,131.8226,10,5,mww,"183 km SW of Tual, Indonesia"
